Team,TotalMatches,GoalsScored,GoalsConceded,GoalDifference,TotalPoints,WinRate,PointsPerGame
Ipswich Town,2,0,3,-3,0,0.0,0.0
Brighton & Hove Albion,2,2,0,2,4,0.5,2.0
Man United,933,1703,912,791,1859,0.594855305466238,1.992497320471597
Southampton,629,747,923,-176,735,0.2988871224165342,1.1685214626391096
Everton,932,1191,1193,-2,1292,0.3701716738197425,1.386266094420601
Aston Villa,819,1024,1148,-124,1049,0.3333333333333333,1.2808302808302807
Leicester,477,657,706,-49,602,0.33962264150943394,1.2620545073375262
Crystal Palace,477,548,680,-132,555,0.3018867924528302,1.1635220125786163
Newcastle,857,1133,1217,-84,1142,0.35939323220536756,1.3325554259043173
Wolves,401,440,633,-193,451,0.2942643391521197,1.1246882793017456
Arsenal,933,1781,967,814,1819,0.5744908896034298,1.9496248660235798
Tottenham,933,1510,1167,343,1520,0.4694533762057878,1.6291532690246517
Brentford,135,202,204,-2,172,0.34074074074074073,1.2740740740740741
Man City,895,1706,942,764,1655,0.5519553072625698,1.8491620111731844
Chelsea,933,1694,893,801,1809,0.5691318327974276,1.9389067524115755
Bournemouth,287,364,493,-129,332,0.31010452961672474,1.156794425087108
West Ham,819,1037,1230,-193,1013,0.32967032967032966,1.236874236874237
Fulham,667,773,975,-202,769,0.29535232383808097,1.1529235382308844
Nott'm Forest,97,117,155,-38,115,0.30927835051546393,1.1855670103092784
Liverpool,932,1725,916,809,1787,0.5590128755364807,1.917381974248927
Ipswich,95,118,140,-22,118,0.3368421052631579,1.2421052631578948
Brighton,285,347,402,-55,346,0.29473684210526313,1.2140350877192982
Sheffield United,152,126,261,-135,131,0.2236842105263158,0.8618421052631579
Burnley,342,341,533,-192,349,0.2573099415204678,1.0204678362573099
Luton,38,52,85,-33,26,0.15789473684210525,0.6842105263157895
Leeds,266,367,427,-60,342,0.3533834586466165,1.2857142857142858
Norwich,266,251,489,-238,234,0.21052631578947367,0.8796992481203008
Watford,266,275,441,-166,261,0.2518796992481203,0.981203007518797
West Brom,494,510,772,-262,490,0.23684210526315788,0.9919028340080972
Cardiff,76,66,143,-77,64,0.2236842105263158,0.8421052631578947
Huddersfield,76,50,134,-84,53,0.15789473684210525,0.6973684210526315
Swansea,266,306,383,-77,312,0.3082706766917293,1.1729323308270676
Stoke,380,398,525,-127,457,0.30526315789473685,1.2026315789473685
Hull,190,181,323,-142,171,0.21578947368421053,0.9
Sunderland,532,520,795,-275,520,0.2387218045112782,0.9774436090225563
Middlesbrough,380,414,503,-89,432,0.28157894736842104,1.1368421052631579
QPR,114,115,199,-84,92,0.19298245614035087,0.8070175438596491
Wigan,304,316,482,-166,331,0.27960526315789475,1.0888157894736843
Reading,114,136,186,-50,119,0.2807017543859649,1.043859649122807
Bolton,418,495,613,-118,506,0.3157894736842105,1.2105263157894737
Blackburn,418,518,592,-74,530,0.3349282296650718,1.2679425837320575
Blackpool,38,55,78,-23,39,0.2631578947368421,1.0263157894736843
Birmingham,266,273,360,-87,301,0.2744360902255639,1.131578947368421
Portsmouth,266,292,380,-88,302,0.29699248120300753,1.1353383458646618
Derby,114,90,211,-121,83,0.16666666666666666,0.7280701754385965
Charlton,266,301,386,-85,325,0.31954887218045114,1.2218045112781954
Coventry,38,36,63,-27,34,0.21052631578947367,0.8947368421052632
Bradford,38,30,70,-40,26,0.13157894736842105,0.6842105263157895
